product_id,image_path,colour,design,title,price,fabric,brand,seg_path,design_source
3PRST25V324S_999,images/3PRST25V324S_999.JPG,beige,embroidered,Embroidered Cotton Jacquard Shirt,11193,Cotton Jacquard,Sapphire,images_seg/3PRST25V324S_999.png,title
3PRST25V318S_999,images/3PRST25V318S_999.JPG,white,embroidered,Embroidered Cotton Shirt,9093,Textured Cotton,Sapphire,images_seg/3PRST25V318S_999.png,title
SDEPRW25V518_999,images/SDEPRW25V518_999.JPG,green,embroidered,Embroidered Herringbone Shirt,4193,HERRINGBONE,Sapphire,images_seg/SDEPRW25V518_999.png,title
SDEPRW25V524_999,images/SDEPRW25V524_999.JPG,pink,embroidered,Embroidered Herringbone Shirt,3493,HERRINGBONE,Sapphire,images_seg/SDEPRW25V524_999.png,title
03PCDFW25V41_999,images/03PCDFW25V41_999.JPG,lilac,embroidered,Embroidered Light Khaddar Shirt,3213,Light Khaddar,Sapphire,images_seg/03PCDFW25V41_999.png,title
3PCDFW25V416_999,images/3PCDFW25V416_999.JPG,purple,printed,Printed Light Khaddar Shirt,2513,Light Khaddar,Sapphire,images_seg/3PCDFW25V416_999.png,title
F3PELXW25V31_999,images/F3PELXW25V31_999.JPG,purple,embroidered,Embroidered Karandi Shirt,7794,Blended Textured Karandi,Sapphire,images_seg/F3PELXW25V31_999.png,title
2STPRW25V384_999,images/2STPRW25V384_999.JPG,yellow,solid,Solid Cotton Shirt,2513,Textured Cotton,Sapphire,images_seg/2STPRW25V384_999.png,title
F3PELXW25V43_999,images/F3PELXW25V43_999.JPG,pink,embroidered,3 Piece - Embroidered Karandi Suit,16093,Blended Textured Karandi,Sapphire,images_seg/F3PELXW25V43_999.png,title
00T1SLW25V42_999,images/00T1SLW25V42_999.JPG,blue,printed,Printed Silk Kaftan,6013,Premium Grip,Sapphire,images_seg/00T1SLW25V42_999.png,title
F3PELXW25V35_999,images/F3PELXW25V35_999.JPG,rust,embroidered,Embroidered Raw Silk Shirt,9093,Viscose Raw Silk,Sapphire,images_seg/F3PELXW25V35_999.png,title
2STPRW25V388_999,images/2STPRW25V388_999.JPG,orange,solid,Solid Cotton Shirt,2513,Textured Cotton,Sapphire,images_seg/2STPRW25V388_999.png,title
02SDPRW25V48_999,images/02SDPRW25V48_999.JPG,white,printed,Printed Cotton Viscose Shirt,2513,Cotton Viscose,Sapphire,images_seg/02SDPRW25V48_999.png,title
0PRSTW25V313_999,images/0PRSTW25V313_999.JPG,white,printed,Printed Viscose Shirt,2513,Textured Viscose,Sapphire,images_seg/0PRSTW25V313_999.png,title
03PPRW25V328_999,images/03PPRW25V328_999.JPG,green,printed,Printed Cotton Viscose Shirt,2653,Cotton Viscose,Sapphire,images_seg/03PPRW25V328_999.png,title
3PRST25V320S_999,images/3PRST25V320S_999.JPG,red,embroidered,Embroidered Cotton Shirt,11193,Textured Cotton,Sapphire,images_seg/3PRST25V320S_999.png,title
2SDEPRW25V39_999,images/2SDEPRW25V39_999.JPG,maroon,embroidered,Embroidered Cotton Viscose Shirt,4193,Cotton Viscose,Sapphire,images_seg/2SDEPRW25V39_999.png,title
03PPRW25V325_999,images/03PPRW25V325_999.JPG,green,printed,Printed Cotton Viscose Shirt,2653,Cotton Viscose,Sapphire,images_seg/03PPRW25V325_999.png,title
03PEPRW25V38_999,images/03PEPRW25V38_999.JPG,beige,embroidered,Embroidered Viscose Shirt,5593,Textured Viscose,Sapphire,images_seg/03PEPRW25V38_999.png,title
F3PELXW25V33_999,images/F3PELXW25V33_999.JPG,yellow,embroidered,Embroidered Karandi Shirt,10493,Blended Textured Karandi,Sapphire,images_seg/F3PELXW25V33_999.png,title
TESTREW25V38_999,images/TESTREW25V38_999.JPG,white,printed,Printed Cambric Shirt,2653,Cambric,Sapphire,images_seg/TESTREW25V38_999.png,title
03PEPRW25V35_999,images/03PEPRW25V35_999.JPG,green,embroidered,Embroidered Viscose Shirt,4893,Textured Viscose,Sapphire,images_seg/03PEPRW25V35_999.png,title
0FSTLXW25V22_999,images/0FSTLXW25V22_999.JPG,peach,embroidered,3 Piece - Embroidered Cotton Net Suit,10493,Silk Cotton Net,Sapphire,images_seg/0FSTLXW25V22_999.png,title
0PRSTW25V315_999,images/0PRSTW25V315_999.JPG,orange,printed,Printed Viscose Shirt,2303,Textured Viscose,Sapphire,images_seg/0PRSTW25V315_999.png,title
0FSTLXW25V44_999,images/0FSTLXW25V44_999.JPG,blue,embroidered,3 Piece - Embroidered Cotton Net Suit,11193,Blended Silk Cotton Net,Sapphire,images_seg/0FSTLXW25V44_999.png,title
F3PELXW25V34_999,images/F3PELXW25V34_999.JPG,grey,embroidered,Embroidered Karandi Shirt,5994,Blended Textured Karandi,Sapphire,images_seg/F3PELXW25V34_999.png,title
2STDYW25V343_999,images/2STDYW25V343_999.JPG,brown,solid,Solid Cambric Shirt,3493,Cambric,Sapphire,images_seg/2STDYW25V343_999.png,title
F3PLXW25V318_999,images/F3PLXW25V318_999.JPG,pink,embroidered,Embroidered Raw Silk Shirt,9093,Viscose Raw Silk,Sapphire,images_seg/F3PLXW25V318_999.png,title
3PCDFW25V312_999,images/3PCDFW25V312_999.JPG,yellow,embroidered,Embroidered Cotton Viscose Shirt,2154,Cotton Viscose,Sapphire,images_seg/3PCDFW25V312_999.png,title
F3PLXW25V315_999,images/F3PLXW25V315_999.JPG,black,embroidered,Embroidered Raw Silk Shirt,7693,Viscose Raw Silk,Sapphire,images_seg/F3PLXW25V315_999.png,title
03PPRW25V315_999,images/03PPRW25V315_999.JPG,brown,printed,Printed Cotton Viscose Shirt,2653,Cotton Viscose,Sapphire,images_seg/03PPRW25V315_999.png,title
2STDYW25V344_999,images/2STDYW25V344_999.JPG,beige,solid,Solid Cambric Shirt,3493,Cambric,Sapphire,images_seg/2STDYW25V344_999.png,title
0PRSTW25V316_999,images/0PRSTW25V316_999.JPG,white,printed,Printed Viscose Shirt,2513,Textured Viscose,Sapphire,images_seg/0PRSTW25V316_999.png,title
TEPRW25V380T_999,images/TEPRW25V380T_999.jpg,brown,embroidered,Light Khaddar Flared Pants,1603,LIGHT KHADDAR,Sapphire,images_seg/TEPRW25V380T_999.png,clip
2SEPRW25V360_999,images/2SEPRW25V360_999.jpg,green,printed,Printed Lawn Viscose Shirt,2303,Lawn Viscose,Sapphire,images_seg/2SEPRW25V360_999.png,title
2TEPRW25V374_999,images/2TEPRW25V374_999.jpg,green,embroidered,Embroidered Cambric Shirt,4193,CAMBRIC,Sapphire,images_seg/2TEPRW25V374_999.png,title
3PEPRW25V355_999,images/3PEPRW25V355_999.JPG,white,embroidered,Embroidered Cotton Viscose Shirt,5593,Cotton Viscose,Sapphire,images_seg/3PEPRW25V355_999.png,title
2SEPRW25V363_999,images/2SEPRW25V363_999.JPG,pink,printed,Printed Lawn Viscose Shirt,2793,Lawn Viscose,Sapphire,images_seg/2SEPRW25V363_999.png,title
2TEPRW25V377_999,images/2TEPRW25V377_999.jpg,red,embroidered,Embroidered Cambric Shirt,4613,CAMBRIC,Sapphire,images_seg/2TEPRW25V377_999.png,title
2VCREPW25V35_999,images/2VCREPW25V35_999.JPG,peach,embroidered,Embroidered Cotton Jacquard Shirt,5593,Cotton Jacquard,Sapphire,images_seg/2VCREPW25V35_999.png,title
03PPRW25V366_999,images/03PPRW25V366_999.JPG,purple,printed,Printed Viscose Linen Shirt,2653,Viscose Linen,Sapphire,images_seg/03PPRW25V366_999.png,title
2TEPRW25V380_999,images/2TEPRW25V380_999.jpg,brown,embroidered,Embroidered Cambric Shirt,4193,CAMBRIC,Sapphire,images_seg/2TEPRW25V380_999.png,title
3PEPRW25V356_999,images/3PEPRW25V356_999.JPG,green,embroidered,Embroidered Cotton Viscose Shirt,6013,Cotton Viscose,Sapphire,images_seg/3PEPRW25V356_999.png,title
03PPRW25V368_999,images/03PPRW25V368_999.JPG,beige,printed,Printed Viscose Linen Shirt,2793,Viscose Linen,Sapphire,images_seg/03PPRW25V368_999.png,title
03PPRW25V365_999,images/03PPRW25V365_999.JPG,green,printed,Printed Viscose Linen Shirt,2303,Viscose Linen,Sapphire,images_seg/03PPRW25V365_999.png,title
3PEPRW25V354_999,images/3PEPRW25V354_999.JPG,blue,embroidered,Embroidered Cotton Viscose Shirt,4893,Cotton Viscose,Sapphire,images_seg/3PEPRW25V354_999.png,title
